year,country_id_iso_3,country,currency_unit,population,employees,real_gdp_expenditures,real_gdp_output,current_consumption,current_absorption,current_gdp_expenditures,current_gdp_output,current_capital_stock,real_gdp_na,real_consumption_na,real_absorption_na,real_capital_stock_na,average_hours_worked,average_depreciation,current_capital_level,current_tfp_level,current_wtfp_level,real_capital_level_na,real_tfp_level_na,real_wtfp_level_na,price_level_ccon,price_level_cda,price_level_cgdpo,price_level_household,price_level_cf,price_level_gov,price_level_x,price_level_m,price_level_capital_stock,price_level_capital,real_rate_return,exchange_rate,human_capital_index,indicator_cig,indicator_xm,indicator_exchange_rate,indicator_outlier,indicator_real_rate_return,indicator_stat_capacity,corr_exp_share,current_share_household,current_share_gcf,current_share_gov,current_share_x,current_share_m,current_share_residual_trade,current_share_labour_gdp_na
2014,ABW,Aruba,Aruban Guilder,103773.99999999999,46463.627368211746,3905877441.40625,4075201171.875,3136324462.890625,4202873046.875,3911293457.03125,3819866455.078125,26377216796.875,2783492919.921875,3104878662.109375,3959000000.0,17654568359.375,,0.034053824841976166,0.00032147721503861248,,,0.96007341146469116,,,0.74221312999725342,0.70699441432952881,0.72391605377197266,0.77584636211395264,0.60342913866043091,0.64142507314682007,0.59532564878463745,0.58983832597732544,0.50227749347686768,0.42927360534667969,0.040188830345869064,1.79,,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,,0.66686443235023718,0.61562180519104,0.27921098470687866,0.20543424785137177,0.94302886724472046,-1.0432958602905273,0.0,0.64510613679885864
2015,ABW,Aruba,Aruban Guilder,104340.99999999999,46717.498451471329,3959592529.296875,3921183349.609375,3029995605.46875,3972749267.578125,3947602539.0625,3963456054.6875,23630027343.75,2942782226.5625,3026557617.1875,3837038330.078125,17791994140.625,,0.034124687314033508,0.00028767588082700968,,,0.97060084342956543,,,0.76192194223403931,0.73956358432769775,0.73660528659820557,0.79537028074264526,0.66770410537719727,0.66078096628189087,0.58639270067214966,0.58997637033462524,0.58524924516677856,0.48838019371032715,0.041084222495555878,1.79,,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,,0.68579767327899077,0.57449257373809814,0.23786148428916931,0.18999063968658447,0.92342376708984375,-0.92577040195465088,1.9135422917315736e-06,0.64510613679885864
2016,ABW,Aruba,Aruban Guilder,104872.0,46955.246478319168,3953522216.796875,3320976806.640625,3025953857.421875,3915882080.078125,3933784179.6875,3387833740.234375,20386876953.125,3003413574.21875,3024284912.109375,3879831298.828125,17960753906.25,,0.034294281154870987,0.0002501615381333977,,,0.98496896028518677,,,0.7659267783164978,0.75394725799560547,0.8754461407661438,0.7981153130531311,0.71321427822113037,0.6675230860710144,0.60692846775054932,0.52367699146270752,0.658333957195282,0.552551805973053,0.044474780559539795,1.79,,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,,0.70282652398179746,0.67302983999252319,0.26268357038497925,0.22015270590782166,1.028300404548645,-1.184166431427002,0.0,0.64510613679885864
2017,ABW,Aruba,Aruban Guilder,105366.0,47176.428139209747,3979910400.390625,3062580566.40625,3044065673.828125,3912317871.09375,3979910400.390625,3062580566.40625,18128181640.625,3062580566.40625,3044065673.828125,3912317626.953125,18128181640.625,,0.034588012844324112,0.00022360685397870839,,,1.0,,,0.77803730964660645,0.76790839433670044,0.99791890382766724,0.80930763483047485,0.73239666223526,0.68204277753829956,0.65475523471832275,0.5123908519744873,0.74053579568862915,0.61459136009216309,0.046607032418251038,1.79,,Benchmark,Benchmark,Market-based,Regular,Regular,,0.71819166024571468,0.74972951412200928,0.28350347280502319,0.2442249059677124,1.1176607608795166,-1.3951187133789062,-1.4879467795413711e-16,0.64510613679885864
2018,ABW,Aruba,Aruban Guilder,105845.0,47390.8968269825,3927566650.390625,3444658691.40625,3040981201.171875,3903104736.328125,3922934082.03125,3466725830.078125,18285027343.75,3090404785.15625,3038056396.484375,3908450683.59375,18284378906.25,,0.034921519458293915,0.00022321297728922218,,,1.0136852264404297,,,0.82410132884979248,0.81651461124420166,0.92396479845047,0.85705643892288208,0.78975385427474976,0.722777247428894,0.66129797697067261,0.58430343866348267,0.79338926076889038,0.60905921459198,0.043946661055088043,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.661908745765686,0.24868527054786682,0.21528241038322449,1.0159190893173218,-1.1417961120605469,6.3781834569454077e-07,0.64510613679885864
2019,ABW,Aruba,Aruban Guilder,106313.99999999999,47600.8877158165,3921261230.46875,3467299560.546875,3023694824.21875,3877659667.96875,3912334716.796875,3466241943.359375,18458134765.625,3068758300.78125,3018355957.03125,3887623779.296875,18427503906.25,,0.035241063684225082,0.00021955897682346404,,,1.0262292623519897,,,0.8490372896194458,0.84170854091644287,0.95003348588943481,0.88309216499328613,0.81575930118560791,0.74432921409606934,0.707260251045227,0.62266039848327637,0.81396126747131348,0.61638307571411133,0.043163284659385681,1.79,,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.65824216604232788,0.24636618793010712,0.21408440172672272,0.973115086555481,-1.0918080806732178,2.1256914806144778e-07,0.64510613679885864
1950,AGO,Angola,Kwanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,AGO,Angola,Kwanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,AGO,Angola,Kwanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,AGO,Angola,Kwanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
